22:50:19.064010 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 109713:111081, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 1368
22:50:19.064011 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 111081:112449, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 1368
22:50:19.064013 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 112449:113817, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 1368
22:50:19.064014 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 113817:115185, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 1368
22:50:19.064015 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 115185:115206, ack 1, win 2048, options [nop,nop,TS val 1330161817 ecr 1488063723], length 21
22:50:19.088296 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 115206:116574, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 1368
22:50:19.088302 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 116574:117942, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 1368
22:50:19.088304 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 117942:119310, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 1368
22:50:19.088305 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 119310:120678, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 1368
22:50:19.088383 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 120678:122046, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 1368
22:50:19.088384 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 122046:123414, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 1368
22:50:19.088385 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 123414:123435, ack 1, win 2048, options [nop,nop,TS val 1330161840 ecr 1488063747], length 21
22:50:19.090526 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 123435:124803, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 1368
22:50:19.090533 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 124803:126171, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 1368
22:50:19.090535 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 126171:127539, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 1368
22:50:19.090537 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 127539:128907, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 1368
22:50:19.090538 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 128907:130275, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 1368
22:50:19.090539 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 130275:131643, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 1368
22:50:19.090540 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 131643:131664, ack 1, win 2048, options [nop,nop,TS val 1330161842 ecr 1488063747], length 21
22:50:19.099745 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 131664:133032, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 1368
22:50:19.099749 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 133032:134400, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 1368
22:50:19.099750 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 134400:135768, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 1368
22:50:19.099751 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 135768:137136, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 1368
22:50:19.099751 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 137136:138504, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 1368
22:50:19.099752 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 138504:139872, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 1368
22:50:19.099753 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 139872:139893, ack 1, win 2048, options [nop,nop,TS val 1330161850 ecr 1488063773], length 21
22:50:19.120663 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 139893:141261, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 1368
22:50:19.120668 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 141261:142629, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 1368
22:50:19.120669 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 142629:143997, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 1368
22:50:19.120670 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 143997:145365, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 1368
22:50:19.120672 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 145365:146733, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 1368
22:50:19.120673 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 146733:148101, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 1368
22:50:19.120673 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 148101:148122, ack 1, win 2048, options [nop,nop,TS val 1330161870 ecr 1488063782], length 21
22:50:19.136674 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 148122:149490, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 1368
22:50:19.136680 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 149490:150858, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 1368
22:50:19.136681 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 150858:152226, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 1368
22:50:19.136683 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 152226:153594, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 1368
22:50:19.136684 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 153594:154962, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 1368
22:50:19.136685 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 154962:156330, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 1368
22:50:19.136686 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 156330:156351, ack 1, win 2048, options [nop,nop,TS val 1330161885 ecr 1488063803], length 21
22:50:19.139990 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 156351:157719, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 1368
22:50:19.139995 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 157719:159087, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 1368
22:50:19.139997 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 159087:160455, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 1368
22:50:19.139998 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 160455:161823, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 1368
22:50:19.140000 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 161823:163191, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 1368
22:50:19.140001 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 163191:164559, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 1368
22:50:19.140002 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 164559:164580, ack 1, win 2048, options [nop,nop,TS val 1330161888 ecr 1488063803], length 21
22:50:19.176640 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 164580:165948, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.176645 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 165948:167316, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.176647 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 167316:168684, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.176648 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 168684:170052, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.176649 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 170052:171420, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.176651 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 171420:172788, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.176652 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [P.], seq 172788:172809, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 21
22:50:19.177243 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 172809:174177, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.177249 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 174177:175545, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.177250 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 175545:176913, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
22:50:19.177251 IP 10.34.1.208.53645 > 172.217.9.138.443: Flags [.], seq 176913:178281, ack 1, win 2048, options [nop,nop,TS val 1330161922 ecr 1488063829], length 1368
